epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.367,0.40167,1.61499,0.9014,0.72994,0.80407,0.81729,0.72362,0.47454,1.68097,0.83381,0.000468772,0.000468772,0.000468772
2,239.156,0.47547,0.89929,0.90363,0.50877,0.10256,0.09704,0.06373,2.3643,6.26882,3.22733,0.000935749,0.000935749,0.000935749
3,345.983,0.48803,0.85019,0.91457,0.59833,0.47679,0.4647,0.3901,0.64608,1.93675,0.96837,0.00139329,0.00139329,0.00139329
4,479.541,0.47034,0.79601,0.90127,0.2678,0.25597,0.19048,0.13076,1.53836,4.96755,1.71089,0.00138656,0.00138656,0.00138656
5,555.421,0.46132,0.70297,0.89684,0.69838,0.87533,0.86615,0.79413,0.36723,0.98499,0.82373,0.00137241,0.00137241,0.00137241
6,633.714,0.43364,0.6675,0.88522,0.6024,0.69522,0.7035,0.66878,0.34417,2.51318,0.80052,0.00135826,0.00135826,0.00135826
7,724.229,0.41342,0.62492,0.87844,0.78082,0.86326,0.94369,0.85025,0.4049,0.93669,0.84836,0.00134412,0.00134412,0.00134412
8,851.598,0.40356,0.60484,0.88556,0.92818,0.9527,0.96673,0.88554,0.40806,0.83091,0.80464,0.00132997,0.00132997,0.00132997
9,927.105,0.39596,0.62097,0.87714,0.79016,0.91167,0.94561,0.90584,0.32922,0.68554,0.78605,0.00131582,0.00131582,0.00131582
10,1022.95,0.3714,0.56509,0.87003,0.93187,0.92523,0.96153,0.90293,0.36125,0.56186,0.79946,0.00130168,0.00130168,0.00130168
11,1087.01,0.36316,0.52153,0.86429,0.79073,0.83658,0.93302,0.87192,0.34602,0.75539,0.83817,0.00128753,0.00128753,0.00128753
12,1199.63,0.36762,0.56736,0.87446,0.86021,0.83863,0.90205,0.80316,0.49218,0.71105,1.01095,0.00127338,0.00127338,0.00127338
13,1247.07,0.35932,0.51267,0.86943,0.77454,0.92009,0.94941,0.92011,0.3111,0.72963,0.79254,0.00125923,0.00125923,0.00125923
14,1302.4,0.35889,0.46168,0.86272,0.98222,0.97427,0.99238,0.96702,0.27317,0.27928,0.75653,0.00124509,0.00124509,0.00124509
15,1386.26,0.36168,0.47684,0.86751,0.99596,1,0.995,0.98131,0.27451,0.21181,0.75993,0.00123094,0.00123094,0.00123094
16,1478.67,0.34311,0.42985,0.85972,0.94366,0.85901,0.93789,0.86783,0.38807,0.55958,0.8471,0.00121679,0.00121679,0.00121679
17,1526.15,0.33887,0.44285,0.86292,0.99106,1,0.995,0.95956,0.30834,0.25518,0.80013,0.00120265,0.00120265,0.00120265
18,1585.95,0.34143,0.45309,0.86433,0.99175,0.97789,0.995,0.97444,0.26968,0.2605,0.76384,0.0011885,0.0011885,0.0011885
19,1804.6,0.32773,0.42299,0.85729,0.86043,0.79944,0.96019,0.92303,0.29484,0.65928,0.79169,0.00117435,0.00117435,0.00117435
20,1982.83,0.32311,0.45458,0.86427,0.99761,1,0.995,0.97575,0.26529,0.21885,0.7676,0.00116021,0.00116021,0.00116021
21,2123.81,0.32337,0.44703,0.86402,0.9431,0.91927,0.99302,0.97229,0.26112,0.34484,0.75776,0.00114606,0.00114606,0.00114606
22,2243.89,0.32012,0.41884,0.8651,0.99427,0.9792,0.99467,0.97809,0.25137,0.22063,0.75669,0.00113191,0.00113191,0.00113191
